#name	ftp_path	organism	assembly_level
Aca_marina_MBIC11017_GCF_000018105_1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/018/105/GCF_000018105.1_ASM1810v1	Acaryochloris marina	Complete Genome
Aceti_thermoc_DSM_2360_GCF_001692755_1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/692/755/GCF_001692755.1_ASM169275v1	Acetivibrio thermocellus	Complete Genome
Aceto_asce_GCF_002173775_1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/173/775/GCF_002173775.1_ASM217377v1	Acetobacter ascendens	Complete Genome
Aceto_oryzif_GCF_002220195_1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/220/195/GCF_002220195.1_ASM222019v1	Acetobacter oryzifermentans	Complete Genome
Aceto_pasteurianus_GCF_009914215_1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/009/914/215/GCF_009914215.1_ASM991421v1	Acetobacter pasteurianus	Complete Genome
Achr_deni_GCF_013267375_1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/013/267/375/GCF_013267375.1_ASM1326737v1	Achromobacter denitrificans	Complete Genome
Achr_inso_GCF_008245125_1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/008/245/125/GCF_008245125.1_ASM824512v1	Achromobacter insolitus	Complete Genome
Achr_spa_GCF_900636675_1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/636/675/GCF_900636675.1_43781_F01	Achromobacter spanius	Complete Genome
Achr_xyloso_GCF_008432465_1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/008/432/465/GCF_008432465.1_ASM843246v1	Achromobacter xylosoxidans	Complete Genome
Acida_fermenta_DSM_20731_GCF_000025305_1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/025/305/GCF_000025305.1_ASM2530v1	Acidaminococcus fermentans	Complete Genome
Acida_intestini_GCF_902381715_1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/902/381/715/GCF_902381715.1_UHGG_MGYG-HGUT-01440	Acidaminococcus intestini	Chromosome
Acidiph_multivorum_AIU301_GCF_000202835_1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/202/835/GCF_000202835.1_ASM20283v1	Acidiphilium multivorum	Complete Genome
Acidipr_acidip_GCF_003956085_1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/956/085/GCF_003956085.1_ASM395608v1	Acidipropionibacterium acidipropionici	Complete Genome
Acidipr_jen_GCF_005890135_1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/005/890/135/GCF_005890135.1_ASM589013v1	Acidipropionibacterium jensenii	Complete Genome
Acidit_caldus_GCF_008694225_1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/008/694/225/GCF_008694225.1_ASM869422v1	Acidithiobacillus caldus	Chromosome
Acidit_ferriv_GCF_900174455_1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/174/455/GCF_900174455.1_NEW_PRJEB5721	Acidithiobacillus ferrivorans	Chromosome
Acidit_ferro_GCF_013462805_1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/013/462/805/GCF_013462805.1_ASM1346280v1	Acidithiobacillus ferrooxidans	Complete Genome
Acido_aven_avenae_ATCC_19860_GCF_000176855_2	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/176/855/GCF_000176855.2_ASM17685v2	Acidovorax avenae	Complete Genome
Acido_carol_GCF_002157165_1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/157/165/GCF_002157165.1_ASM215716v1	Acidovorax carolinensis	Complete Genome
Acido_citru_GCF_001593665_2	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/593/665/GCF_001593665.2_ASM159366v2	Acidovorax citrulli	Complete Genome
Acin_bau_GCF_008632635_1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/008/632/635/GCF_008632635.1_ASM863263v1	Acinetobacter baumannii	Complete Genome
Acin_bere_GCF_016576965_1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/016/576/965/GCF_016576965.1_ASM1657696v1	Acinetobacter bereziniae	Complete Genome
Acin_calc_GCF_002055515_1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/055/515/GCF_002055515.1_ASM205551v1	Acinetobacter calcoaceticus	Complete Genome
Acin_gui_GCF_002370525_2	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/370/525/GCF_002370525.2_ASM237052v2	Acinetobacter guillouiae	Complete Genome
Acin_haemolyticus_GCF_003323815_1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/323/815/GCF_003323815.1_ASM332381v1	Acinetobacter haemolyticus	Complete Genome
Acin_indicus_GCF_009914475_1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/009/914/475/GCF_009914475.1_ASM991447v1	Acinetobacter indicus	Complete Genome
Acin_junii_GCF_018336855_1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/018/336/855/GCF_018336855.1_ASM1833685v1	Acinetobacter junii	Complete Genome
Acin_lactu_GCF_013122135_1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/013/122/135/GCF_013122135.1_ASM1312213v1	Acinetobacter lactucae	Complete Genome
Acin_lwo_GCF_019343495_1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/019/343/495/GCF_019343495.1_ASM1934349v1	Acinetobacter lwoffii	Complete Genome
Acin_nos_M2_GCF_005281455_1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/005/281/455/GCF_005281455.1_ASM528145v1	Acinetobacter nosocomialis	Complete Genome
Acin_radior_GCF_003258335_1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/258/335/GCF_003258335.1_ASM325833v1	Acinetobacter radioresistens	Complete Genome
Acin_schi_GCF_010918895_1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/010/918/895/GCF_010918895.1_ASM1091889v1	Acinetobacter schindleri	Complete Genome
Acin_sei_GCF_016064815_1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/016/064/815/GCF_016064815.1_ASM1606481v1	Acinetobacter seifertii	Complete Genome
Acin_soli_GCF_018139125_1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/018/139/125/GCF_018139125.1_ASM1813912v1	Acinetobacter soli	Complete Genome
Acin_tow_GCF_017498585_1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/017/498/585/GCF_017498585.1_ASM1749858v1	Acinetobacter towneri	Complete Genome
Acin_varia_GCF_018409485_1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/018/409/485/GCF_018409485.1_ASM1840948v1	Acinetobacter variabilis	Complete Genome
Acin_wuh_GCF_001696605_3	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/696/605/GCF_001696605.3_ASM169660v3	Acinetobacter wuhouensis	Complete Genome
Actinob_equu_equuli_GCF_000801145_1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/801/145/GCF_000801145.1_ASM80114v1	Actinobacillus equuli	Complete Genome
Actinob_pleu_GCF_900638445_1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/638/445/GCF_900638445.1_57675_E01	Actinobacillus pleuropneumoniae	Complete Genome
Actinob_suis_ATCC_33415_GCF_000739435_1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/739/435/GCF_000739435.1_ASM73943v1	Actinobacillus suis	Complete Genome
Actinomy_naes_GCF_016127855_1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/016/127/855/GCF_016127855.1_ASM1612785v1	Actinomyces naeslundii	Complete Genome
Actinomy_oris_GCF_016127955_1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/016/127/955/GCF_016127955.1_ASM1612795v1	Actinomyces oris	Complete Genome
Actinos_pre_GCF_002354875_1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/354/875/GCF_002354875.1_ASM235487v1	Actinosynnema pretiosum	Complete Genome
Acu_muris_GCF_002201475_1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/201/475/GCF_002201475.1_ASM220147v1	Acutalibacter muris	Chromosome
Ad_equol_DSM_19450_GCF_000478885_1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/478/885/GCF_000478885.1_ASM47888v1	Adlercreutzia equolifaciens	Complete Genome
Aeroc_GCF_001518795_1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/518/795/GCF_001518795.1_ASM151879v1	Aerococcus urinaeequi	Complete Genome
Aeroc_urinae_GCF_001543175_1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/543/175/GCF_001543175.1_ASM154317v1	Aerococcus urinae	Complete Genome
Aerom_cavi_GCF_014169735_1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/014/169/735/GCF_014169735.1_ASM1416973v1	Aeromonas caviae	Complete Genome
Aerom_dha_GCF_020405345_1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/020/405/345/GCF_020405345.1_ASM2040534v1	Aeromonas dhakensis	Complete Genome
Aerom_enc_GCF_900637545_1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/637/545/GCF_900637545.1_51438_G01	Aeromonas encheleia	Complete Genome
Aerom_enterop_GCF_020341435_1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/020/341/435/GCF_020341435.1_ASM2034143v1	Aeromonas enteropelogenes	Chromosome
Aerom_hydrop_GCF_017310215_1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/017/310/215/GCF_017310215.1_ASM1731021v1	Aeromonas hydrophila	Complete Genome
Aerom_jan_GCF_016127195_1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/016/127/195/GCF_016127195.1_ASM1612719v1	Aeromonas jandaei	Complete Genome
Aerom_media_GCF_020423125_1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/020/423/125/GCF_020423125.1_ASM2042312v1	Aeromonas media	Complete Genome
Aerom_salmonic_GCF_012931585_1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/012/931/585/GCF_012931585.1_ASM1293158v1	Aeromonas salmonicida	Complete Genome
Aerom_vero_GCF_008693705_1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/008/693/705/GCF_008693705.1_ASM869370v1	Aeromonas veronii	Complete Genome
Af_carb_OM5_GCF_000218565_1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/218/565/GCF_000218565.1_ASM21856v1	Afipia carboxidovorans	Complete Genome
Agg_aphr_ATCC_33389_GCF_900636915_1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/636/915/GCF_900636915.1_45532_F02	Aggregatibacter aphrophilus	Complete Genome
Agg_seg_ATCC_33393_GCF_900476035_1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/476/035/GCF_900476035.1_53694_C01	Aggregatibacter segnis	Complete Genome
Agr_faba_P4_GCF_000442985_1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/442/985/GCF_000442985.1_AtP4V1.0	Agrobacterium fabacearum	Chromosome
Agr_fabr_GCF_003667725_1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/667/725/GCF_003667725.1_ASM366772v1	Agrobacterium fabrum	Complete Genome
Agr_rhizog_GCF_018138105_1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/018/138/105/GCF_018138105.1_ASM1813810v1	Agrobacterium rhizogenes	Complete Genome
Agr_tum_GCF_003667905_1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/667/905/GCF_003667905.1_ASM366790v1	Agrobacterium tumefaciens	Complete Genome
Agr_vac_GCF_021310995_1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/021/310/995/GCF_021310995.1_ASM2131099v1	Agrobacterium vaccinii	Complete Genome
Ak_mucin_GCF_009731575_1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/009/731/575/GCF_009731575.1_ASM973157v1	Akkermansia muciniphila	Complete Genome
Alc_aquatil_GCF_003076515_1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/076/515/GCF_003076515.1_ASM307651v1	Alcaligenes aquatilis	Chromosome
Alc_faecalis_GCF_000967305_2	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/967/305/GCF_000967305.2_ASM96730v2	Alcaligenes faecalis	Complete Genome
Alia_butz_ED_1_GCF_000284355_1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/284/355/GCF_000284355.1_ASM28435v1	Aliarcobacter butzleri	Complete Genome
Alia_crya_ATCC_43158_GCF_003660105_1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/660/105/GCF_003660105.1_ASM366010v1	Aliarcobacter cryaerophilus	Complete Genome
Alia_ski_CCUG_10374_GCF_003544835_1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/544/835/GCF_003544835.1_ASM354483v1	Aliarcobacter skirrowii	Complete Genome
Alicycli_deni_GCF_012530715_1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/012/530/715/GCF_012530715.1_ASM1253071v1	Alicycliphilus denitrificans	Complete Genome
Alicyclo_acidoc_acidocaldarius_DSM_446_GCF_000024285_1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/024/285/GCF_000024285.1_ASM2428v1	Alicyclobacillus acidocaldarius	Complete Genome
Alii_salmonic_LFI1238_GCF_000196495_1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/196/495/GCF_000196495.1_ASM19649v1	Aliivibrio salmonicida	Complete Genome
Alis_comm_GCF_006542665_1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/006/542/665/GCF_006542665.1_Acom_1.0	Alistipes communis	Complete Genome
Alis_ond_vulgaris_GCF_006542645_1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/006/542/645/GCF_006542645.1_Aond_1.0	Alistipes onderdonkii	Complete Genome
Alt_australica_GCF_000730385_1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/730/385/GCF_000730385.1_ASM73038v1	Alteromonas australica	Complete Genome
Alt_macl_GCF_002849875_1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/849/875/GCF_002849875.1_ASM284987v1	Alteromonas macleodii	Complete Genome
Alt_mediterranea_GCF_001886435_1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/886/435/GCF_001886435.1_ASM188643v1	Alteromonas mediterranea	Complete Genome
Alt_stel_GCF_001562195_1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/562/195/GCF_001562195.1_ASM156219v1	Alteromonas stellipolaris	Complete Genome
Aly_fili_GCF_014054525_1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/014/054/525/GCF_014054525.1_ASM1405452v1	Alysiella filiformis	Complete Genome
Ame_intestinale_GCF_010537335_1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/010/537/335/GCF_010537335.1_ASM1053733v1	Amedibacterium intestinale	Complete Genome
Amy_kera_GCF_000400635_2	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/400/635/GCF_000400635.2_ASM40063v2	Amycolatopsis keratiniphila	Complete Genome
Amy_mediterranei_RB_GCF_000454025_1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/454/025/GCF_000454025.1_ASM45402v1	Amycolatopsis mediterranei	Complete Genome
Anab_cyl_PCC_7122_GCF_000317695_1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/317/695/GCF_000317695.1_ASM31769v1	Anabaena cylindrica	Complete Genome
Anaerom_deh_2CP_1_GCF_000022145_1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/022/145/GCF_000022145.1_ASM2214v1	Anaeromyxobacter dehalogenans	Complete Genome
Anaeros_cac_GCF_020181435_1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/020/181/435/GCF_020181435.1_ASM2018143v1	Anaerostipes caccae	Complete Genome
Anaeros_had_GCF_000210695_1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/210/695/GCF_000210695.1_ASM21069v1	Anaerostipes hadrus	Chromosome
Anap_marg_Florida_GCF_000020305_1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/020/305/GCF_000020305.1_ASM2030v1	Anaplasma marginale	Complete Genome
Anap_phago_JM_GCF_000439775_1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/439/775/GCF_000439775.1_ASM43977v1	Anaplasma phagocytophilum	Complete Genome
Ap_kunk_GCF_019575995_1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/019/575/995/GCF_019575995.1_ASM1957599v1	Apilactobacillus kunkeei	Complete Genome
Ara_propio_GCF_900637725_1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/637/725/GCF_900637725.1_52551_C01	Arachnia propionica	Complete Genome
Ara_rubra_GCF_018128325_1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/018/128/325/GCF_018128325.1_ASM1812832v1	Arachnia rubra	Complete Genome
